,TSNE_1,TSNE_2,label
C230517005_CELL2732_N1,17.5544394088039,-46.8259070245716,3
C230517005_CELL2759_N1,7.11806802752756,-11.3904440021216,3
C230517005_CELL2778_N1,44.2282145145703,11.6421347671247,1
C230517005_CELL2787_N1,15.1593113816557,16.5752566603897,2
C230517005_CELL278_N3,-33.4120225643624,-37.9861144391034,3
C230517005_CELL2791_N1,36.2162777737279,-16.6640392892757,1
C230517005_CELL282_N3,-40.5172615143896,-42.1617483449556,3
C230517005_CELL2837_N1,27.1119875636094,-3.52135106551343,1
C230517005_CELL2850_N1,4.9824383045959,-27.4199808985894,3
C230517005_CELL2862_N1,-13.8192472795576,-40.0700987654223,3
C230517005_CELL2866_N1,47.1716494993866,34.5706146021288,1
C230517005_CELL2872_N1,16.6506833834662,-32.1849224182077,3
C230517005_CELL2881_N1,-12.7169358856476,44.5968904596475,2
C230517005_CELL288_N4,-40.6845237544469,7.85061475967146,0
C230517005_CELL2898_N1,14.0696284716882,-24.087881279605,3
C230517005_CELL2901_N1,50.0307963498234,5.86650188656164,1
C230517005_CELL2912_N1,56.5341787159975,33.4131760281655,1
C230517005_CELL292_N2,41.3951398745153,-12.6927041733183,1
C230517005_CELL2930_N1,-15.5275067799735,-53.9197928049163,3
C230517005_CELL2945_N1,5.95797157523772,17.7926960827664,2
C230517005_CELL2988_N1,52.1678915506758,-7.21073751544214,1
C230517005_CELL300_N3,58.510339420316,-19.9858647567462,1
C230517005_CELL3016_N1,-1.24640234090646,-51.7153534645001,3
C230517005_CELL3032_N1,-24.4767279531888,-32.6897452062787,3
C230517005_CELL3037_N1,45.5109780118117,-4.00864886290862,1
C230517005_CELL3045_N1,19.9058351878072,30.7286753261672,2
C230517005_CELL3061_N1,-33.1878225013107,-41.445994806531,3
C230517005_CELL3068_N1,28.2901003965855,14.3773892652082,1
C230517005_CELL3090_N1,45.6044490906779,18.8607318907987,1
C230517005_CELL3137_N1,-0.714667612367808,-29.8673588636582,3
C230517005_CELL3164_N1,20.6006776985143,-37.6350708450528,3
