,TSNE_1,TSNE_2,label
C230517007_CELL122_N1,-1.38941522977879,29.3542573389,1
C230517007_CELL1234_N2,47.8510861440112,3.59208237006784,3
C230517007_CELL123_N1,-5.43221578035892,11.5660005285118,1
C230517007_CELL1243_N3,41.7204955819028,-26.3105305079569,3
C230517007_CELL1247_N2,12.6334869290997,12.6398541708679,1
C230517007_CELL1249_N2,-42.93098001953,-34.9558293887244,4
C230517007_CELL1256_N1,3.63672958650445,17.0401120054041,1
C230517007_CELL1263_N4,21.739723179714,-9.37862240867866,3
C230517007_CELL1271_N2,28.4625820728124,35.933460997834,1
C230517007_CELL1277_N2,-4.44112008304931,-12.0106812502874,4
C230517007_CELL1290_N2,46.7074189859146,6.55565403394354,3
C230517007_CELL1294_N3,32.7084162479498,-26.8267129771348,3
C230517007_CELL1295_N2,37.4491404629747,22.1379654767704,3
C230517007_CELL1307_N3,33.2686136248636,-53.5923611576162,0
C230517007_CELL1314_N2,-2.46321555759468,-26.7391011572306,0
C230517007_CELL1315_N2,39.1331521894423,25.3045330746548,3
C230517007_CELL1317_N1,-41.3600254760952,31.372468719931,2
C230517007_CELL131_N1,-59.5324997114122,-6.48984981219786,4
C230517007_CELL1323_N2,-19.4325533680234,-38.5721225642108,4
C230517007_CELL1325_N5,-18.7293092870215,15.9707674114093,2
C230517007_CELL1331_N1,11.376151034716,31.6670876925143,1
C230517007_CELL1335_N3,9.9114904051426,-63.6790141461601,0
C230517007_CELL1336_N1,3.46954967558989,39.632764785888,1
C230517007_CELL1344_N3,16.7362781234874,-42.7370697829077,0
C230517007_CELL1353_N1,17.5535826425396,10.1244285519813,3
C230517007_CELL1358_N1,22.0903417155378,-18.016073451068,3
C230517007_CELL1363_N2,0.754475835148996,22.7442180512085,1
C230517007_CELL1370_N4,18.0847226033057,-1.91969791577405,3
C230517007_CELL1371_N3,9.91405982771974,-34.3315350348331,0
C230517007_CELL1372_N2,-7.85095466544118,10.7160808422813,1
C230517007_CELL1373_N2,29.5796561335138,8.14575721000174,3
C230517007_CELL1377_N2,-33.4671563933629,-4.64772499280909,4
C230517007_CELL137_N3,8.49742609869965,-47.913033845751,0
C230517007_CELL1382_N3,-33.6965946836639,-1.68899241457976,4
C230517007_CELL1385_N2,-41.1377979124334,-10.935440453473,4
C230517007_CELL1387_N1,21.2828470639901,-0.387915036004079,3
C230517007_CELL1390_N2,-5.69746227109872,11.1957398852396,1
C230517007_CELL1393_N2,18.111089706082,-47.8945954599679,0
C230517007_CELL1394_N3,53.3494526412844,24.2246679663386,3
C230517007_CELL1404_N2,-4.06530994049933,-18.8254810813835,4
C230517007_CELL1412_N2,40.3921722671828,-12.1384905943949,3
C230517007_CELL1429_N2,19.1735926685016,17.9760889075945,1
C230517007_CELL1432_N5,42.2692078385979,1.48831727417149,3
C230517007_CELL1434_N2,29.7114607464378,-48.3871436404469,0
C230517007_CELL1437_N2,18.3347062854379,-47.6797147756718,0
C230517007_CELL1439_N3,29.0193711320775,26.6207319112534,1
C230517007_CELL1445_N3,-17.9453178719837,-34.6533858374191,4
C230517007_CELL1448_N3,53.4721544265435,-25.1047755634565,3
C230517007_CELL1457_N1,12.8225002213221,-66.901358826837,0
C230517007_CELL1458_N2,-6.55671750125218,-53.6669974224484,0
C230517007_CELL1464_N2,-14.6181311814055,-49.5099786268001,0
C230517007_CELL1469_N1,4.70041397189117,49.6352867895481,1
C230517007_CELL146_N1,43.1512864429041,21.3381005478091,3
C230517007_CELL1477_N2,19.4394468769027,-41.3549651331285,0
C230517007_CELL147_N2,-39.9977776452147,-19.9970100469077,4
C230517007_CELL1485_N1,-1.91282098890058,3.11014230633563,4
C230517007_CELL1495_N3,-49.7975832398338,-24.7049933021781,4
C230517007_CELL1504_N2,-24.3437525334864,-23.9310920978621,4
C230517007_CELL1508_N2,26.0953622085977,31.2301649924095,1
C230517007_CELL1520_N1,49.6494902503252,-11.808612857822,3
C230517007_CELL1527_N3,30.1891837048534,-38.3568878912333,0
C230517007_CELL1535_N3,53.2789279559475,-21.4380799830319,3
C230517007_CELL1536_N2,15.8412039896737,-7.39870620536919,3
C230517007_CELL1538_N1,1.58789348964601,8.97075873786393,1
C230517007_CELL1539_N2,-49.2450688521262,7.9493867733583,2
C230517007_CELL153_N1,17.9626631288097,48.9032699100099,1
C230517007_CELL1543_N2,-49.4825712384425,-26.260266474516,4
C230517007_CELL1545_N3,-3.28588114447462,-43.7720487872199,0
C230517007_CELL1549_N2,-32.3777806485153,-13.0133069779521,4
C230517007_CELL154_N3,52.5287661166941,24.1012614055077,3
C230517007_CELL1552_N5,3.57806123078937,-66.7977220258381,0
